config,k,category,gt_count,retrieved_count,tp,fp,recall,precision
baseline,1,naming_convention,24,21,15,6,0.625,0.7142857142857143
baseline,1,unused_import,33,15,14,1,0.42424242424242425,0.9333333333333333
baseline,1,indentation,12,2,1,1,0.08333333333333333,0.5
baseline,1,mutable_default,13,9,9,0,0.6923076923076923,1.0
baseline,1,documentation_formatting,12,3,1,2,0.08333333333333333,0.3333333333333333
baseline,3,naming_convention,24,34,21,13,0.875,0.6176470588235294
baseline,3,unused_import,33,27,20,7,0.6060606060606061,0.7407407407407407
baseline,3,indentation,12,7,4,3,0.3333333333333333,0.5714285714285714
baseline,3,mutable_default,13,12,12,0,0.9230769230769231,1.0
baseline,3,documentation_formatting,12,6,1,5,0.08333333333333333,0.16666666666666666
baseline,5,naming_convention,24,38,21,17,0.875,0.5526315789473685
baseline,5,unused_import,33,35,25,10,0.7575757575757576,0.7142857142857143
baseline,5,indentation,12,11,7,4,0.5833333333333334,0.6363636363636364
baseline,5,mutable_default,13,13,13,0,1.0,1.0
baseline,5,documentation_formatting,12,12,3,9,0.25,0.25
baseline,7,naming_convention,24,42,22,20,0.9166666666666666,0.5238095238095238
baseline,7,unused_import,33,38,25,13,0.7575757575757576,0.6578947368421053
baseline,7,indentation,12,16,8,8,0.6666666666666666,0.5
baseline,7,mutable_default,13,13,13,0,1.0,1.0
baseline,7,documentation_formatting,12,14,3,11,0.25,0.21428571428571427
balanced,1,naming_convention,24,20,14,6,0.5833333333333334,0.7
balanced,1,unused_import,33,14,13,1,0.3939393939393939,0.9285714285714286
balanced,1,indentation,12,3,2,1,0.16666666666666666,0.6666666666666666
balanced,1,mutable_default,13,9,9,0,0.6923076923076923,1.0
balanced,1,documentation_formatting,12,4,1,3,0.08333333333333333,0.25
balanced,3,naming_convention,24,29,21,8,0.875,0.7241379310344828
balanced,3,unused_import,33,36,24,12,0.7272727272727273,0.6666666666666666
balanced,3,indentation,12,10,5,5,0.4166666666666667,0.5
balanced,3,mutable_default,13,13,13,0,1.0,1.0
balanced,3,documentation_formatting,12,14,3,11,0.25,0.21428571428571427
balanced,5,naming_convention,24,35,24,11,1.0,0.6857142857142857
balanced,5,unused_import,33,44,30,14,0.9090909090909091,0.6818181818181818
balanced,5,indentation,12,27,11,16,0.9166666666666666,0.4074074074074074
balanced,5,mutable_default,13,13,13,0,1.0,1.0
balanced,5,documentation_formatting,12,31,6,25,0.5,0.1935483870967742
balanced,7,naming_convention,24,49,24,25,1.0,0.4897959183673469
balanced,7,unused_import,33,47,32,15,0.9696969696969697,0.6808510638297872
balanced,7,indentation,12,42,12,30,1.0,0.2857142857142857
balanced,7,mutable_default,13,13,13,0,1.0,1.0
balanced,7,documentation_formatting,12,41,11,30,0.9166666666666666,0.2682926829268293
semantic_lean,1,naming_convention,24,20,14,6,0.5833333333333334,0.7
semantic_lean,1,unused_import,33,14,13,1,0.3939393939393939,0.9285714285714286
semantic_lean,1,indentation,12,3,2,1,0.16666666666666666,0.6666666666666666
semantic_lean,1,mutable_default,13,9,9,0,0.6923076923076923,1.0
semantic_lean,1,documentation_formatting,12,4,1,3,0.08333333333333333,0.25
semantic_lean,3,naming_convention,24,28,20,8,0.8333333333333334,0.7142857142857143
semantic_lean,3,unused_import,33,27,20,7,0.6060606060606061,0.7407407407407407
semantic_lean,3,indentation,12,7,4,3,0.3333333333333333,0.5714285714285714
semantic_lean,3,mutable_default,13,12,12,0,0.9230769230769231,1.0
semantic_lean,3,documentation_formatting,12,6,1,5,0.08333333333333333,0.16666666666666666
semantic_lean,5,naming_convention,24,32,24,8,1.0,0.75
semantic_lean,5,unused_import,33,40,27,13,0.8181818181818182,0.675
semantic_lean,5,indentation,12,18,9,9,0.75,0.5
semantic_lean,5,mutable_default,13,13,13,0,1.0,1.0
semantic_lean,5,documentation_formatting,12,17,3,14,0.25,0.17647058823529413
semantic_lean,7,naming_convention,24,35,24,11,1.0,0.6857142857142857
semantic_lean,7,unused_import,33,44,30,14,0.9090909090909091,0.6818181818181818
semantic_lean,7,indentation,12,27,11,16,0.9166666666666666,0.4074074074074074
semantic_lean,7,mutable_default,13,13,13,0,1.0,1.0
