id,repo,query_text,gt_categories,baseline_categories,reranked_categories
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'naming_convention', 'unused_import']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['naming_convention'],"['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'naming_convention']","['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['naming_convention'],"['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-django_PR_39,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['documentation_formatting', 'indentation', 'naming_convention', 'unused_import']","['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-django_PR_35,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['documentation_formatting', 'unused_import']","['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'naming_convention']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['naming_convention'],"['indentation', 'documentation_formatting', 'indentation', 'documentation_formatting', 'naming_convention', 'indentation', 'indentation']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']"
synthetic-django_PR_33,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['documentation_formatting', 'indentation', 'unused_import']","['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['indentation', 'documentation_formatting', 'indentation', 'documentation_formatting', 'naming_convention', 'indentation', 'indentation']","['indentation', 'documentation_formatting', 'indentation', 'naming_convention', 'documentation_formatting', 'naming_convention', 'unused_import']"
synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['documentation_formatting'],"['indentation', 'indentation', 'indentation', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'unused_import']","['indentation', 'indentation', 'naming_convention', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
synthetic-django_PR_25,kannan-dedsec/synthetic-django,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['unused_import'],"['indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'indentation', 'indentation', 'indentation']","['indentation', 'indentation', 'unused_import', 'naming_convention', 'documentation_formatting', 'naming_convention', 'documentation_formatting']"
synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,"['mutable_default', 'unused_import']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['naming_convention'],"['naming_convention', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation', 'unused_import', 'unused_import', 'naming_convention']"
synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,General Python code quality review ; focus naming_convention unused_import indentation mutable_default documentation_formatting,['naming_convention'],"['naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'documentation_formatting', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'documentation_formatting', 'unused_import']"
