mode,k,category,gt_count,retrieved_count,tp,fp,recall,precision
baseline,1,naming_convention,17,0,0,0,0.0,0.0
baseline,1,unused_import,21,0,0,0,0.0,0.0
baseline,1,indentation,5,4,2,2,0.4,0.5
baseline,1,mutable_default,10,16,5,11,0.5,0.3125
baseline,1,documentation_formatting,5,13,3,10,0.6,0.23076923076923078
baseline,3,naming_convention,17,16,7,9,0.4117647058823529,0.4375
baseline,3,unused_import,21,16,11,5,0.5238095238095238,0.6875
baseline,3,indentation,5,10,3,7,0.6,0.3
baseline,3,mutable_default,10,16,5,11,0.5,0.3125
baseline,3,documentation_formatting,5,17,4,13,0.8,0.23529411764705882
baseline,5,naming_convention,17,16,7,9,0.4117647058823529,0.4375
baseline,5,unused_import,21,16,11,5,0.5238095238095238,0.6875
baseline,5,indentation,5,10,3,7,0.6,0.3
baseline,5,mutable_default,10,27,7,20,0.7,0.25925925925925924
baseline,5,documentation_formatting,5,26,5,21,1.0,0.19230769230769232
baseline,7,naming_convention,17,27,13,14,0.7647058823529411,0.48148148148148145
baseline,7,unused_import,21,33,21,12,1.0,0.6363636363636364
baseline,7,indentation,5,10,3,7,0.6,0.3
baseline,7,mutable_default,10,33,10,23,1.0,0.30303030303030304
baseline,7,documentation_formatting,5,26,5,21,1.0,0.19230769230769232
reranked,1,naming_convention,17,16,7,9,0.4117647058823529,0.4375
reranked,1,unused_import,21,7,5,2,0.23809523809523808,0.7142857142857143
reranked,1,indentation,5,4,2,2,0.4,0.5
reranked,1,mutable_default,10,0,0,0,0.0,0.0
reranked,1,documentation_formatting,5,6,0,6,0.0,0.0
reranked,3,naming_convention,17,23,10,13,0.5882352941176471,0.43478260869565216
reranked,3,unused_import,21,16,11,5,0.5238095238095238,0.6875
reranked,3,indentation,5,10,3,7,0.6,0.3
reranked,3,mutable_default,10,9,5,4,0.5,0.5555555555555556
reranked,3,documentation_formatting,5,17,4,13,0.8,0.23529411764705882
reranked,5,naming_convention,17,27,13,14,0.7647058823529411,0.48148148148148145
reranked,5,unused_import,21,29,19,10,0.9047619047619048,0.6551724137931034
reranked,5,indentation,5,17,5,12,1.0,0.29411764705882354
reranked,5,mutable_default,10,16,5,11,0.5,0.3125
reranked,5,documentation_formatting,5,26,5,21,1.0,0.19230769230769232
reranked,7,naming_convention,17,33,17,16,1.0,0.5151515151515151
reranked,7,unused_import,21,33,21,12,1.0,0.6363636363636364
reranked,7,indentation,5,17,5,12,1.0,0.29411764705882354
reranked,7,mutable_default,10,27,7,20,0.7,0.25925925925925924
reranked,7,documentation_formatting,5,26,5,21,1.0,0.19230769230769232
