id,repo,query_text,gt_categories,baseline_categories,reranked_categories
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,General Python code quality review,"['mutable_default', 'naming_convention', 'unused_import']","['mutable_default', 'naming_convention', 'unused_import', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'mutable_default', 'unused_import', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'documentation_formatting']"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,General Python code quality review,['naming_convention'],"['documentation_formatting', 'unused_import', 'documentation_formatting', 'mutable_default', 'documentation_formatting', 'naming_convention', 'naming_convention']","['unused_import', 'documentation_formatting', 'naming_convention', 'documentation_formatting', 'indentation', 'unused_import', 'mutable_default']"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,General Python code quality review,"['mutable_default', 'naming_convention']","['documentation_formatting', 'unused_import', 'documentation_formatting', 'mutable_default', 'documentation_formatting', 'naming_convention', 'naming_convention']","['unused_import', 'documentation_formatting', 'naming_convention', 'documentation_formatting', 'indentation', 'unused_import', 'mutable_default']"
synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,General Python code quality review,['unused_import'],"['mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'unused_import', 'naming_convention', 'naming_convention']"
synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,General Python code quality review,['naming_convention'],"['mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'unused_import', 'naming_convention', 'naming_convention']"
synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,General Python code quality review,['unused_import'],"['mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import']","['naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'unused_import', 'naming_convention', 'naming_convention']"
synthetic-django_PR_39,kannan-dedsec/synthetic-django,General Python code quality review,"['documentation_formatting', 'indentation', 'naming_convention', 'unused_import']","['documentation_formatting', 'unused_import', 'documentation_formatting', 'mutable_default', 'documentation_formatting', 'naming_convention', 'naming_convention']","['unused_import', 'documentation_formatting', 'naming_convention', 'documentation_formatting', 'indentation', 'unused_import', 'mutable_default']"
synthetic-django_PR_35,kannan-dedsec/synthetic-django,General Python code quality review,"['documentation_formatting', 'unused_import']","['documentation_formatting', 'unused_import', 'documentation_formatting', 'mutable_default', 'documentation_formatting', 'naming_convention', 'naming_convention']","['unused_import', 'documentation_formatting', 'naming_convention', 'documentation_formatting', 'indentation', 'unused_import', 'mutable_default']"
synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,General Python code quality review,"['mutable_default', 'naming_convention']","['mutable_default', 'naming_convention', 'unused_import', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'documentation_formatting']","['naming_convention', 'mutable_default', 'unused_import', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'documentation_formatting']"
synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,General Python code quality review,['naming_convention'],"['documentation_formatting', 'documentation_formatting', 'indentation', 'indentation', 'documentation_formatting', 'mutable_default', 'unused_import']","['documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'unused_import', 'naming_convention', 'indentation']"
synthetic-django_PR_33,kannan-dedsec/synthetic-django,General Python code quality review,"['documentation_formatting', 'indentation', 'unused_import']","['documentation_formatting', 'unused_import', 'documentation_formatting', 'mutable_default', 'documentation_formatting', 'naming_convention', 'naming_convention']","['unused_import', 'documentation_formatting', 'naming_convention', 'documentation_formatting', 'indentation', 'unused_import', 'mutable_default']"
synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,General Python code quality review,['unused_import'],"['documentation_formatting', 'documentation_formatting', 'indentation', 'indentation', 'documentation_formatting', 'mutable_default', 'unused_import']","['documentation_formatting', 'documentation_formatting', 'indentation', 'documentation_formatting', 'unused_import', 'naming_convention', 'indentation']"
