config,k,recall_at_k,precision_at_k,mrr_at_k
balanced,1,0.48166666666666663,0.78,0.48166666666666663
balanced,3,0.77,0.7,0.6022222222222222
balanced,5,0.9216666666666667,0.604,0.6363888888888889
balanced,7,0.9866666666666667,0.5169523809523809,0.646626984126984
baseline,1,0.5016666666666666,0.8,0.5016666666666666
baseline,3,0.7033333333333333,0.7466666666666667,0.5866666666666667
baseline,5,0.8116666666666668,0.732,0.6104166666666666
baseline,7,0.8233333333333333,0.7028571428571427,0.6120833333333333
diversity_lexical,1,0.48166666666666663,0.78,0.48166666666666663
diversity_lexical,3,0.9216666666666667,0.56,0.6763888888888888
diversity_lexical,5,0.9933333333333333,0.48266666666666663,0.6939722222222222
diversity_lexical,7,0.9933333333333333,0.48266666666666663,0.6939722222222222
semantic_lean,1,0.48166666666666663,0.78,0.48166666666666663
semantic_lean,3,0.6866666666666668,0.7666666666666667,0.5744444444444444
semantic_lean,5,0.8666666666666667,0.684,0.6158611111111111
semantic_lean,7,0.9416666666666668,0.6257142857142857,0.626734126984127
