id,repo,query_text,gt_categories,baseline_categories,reranked_balanced,reranked_semantic_lean,reranked_diversity_lexical
synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,"repo family: scikit-learn ; import statements count: 4 ; camelCase identifiers: filteredData, fitTransform, lowerBound, upperBound ; mutable-default patterns: 2 ; non-4-space indentation lines: 0 ; docstring markers count: 12 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 27: Function 'fit' uses mutable default for argument 'y'. | Line 63: Function 'fitTransform' uses mutable default for argument 'y'.","['mutable_default', 'naming_convention', 'unused_import']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'mutable_default']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'indentation']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'mutable_default', 'unused_import']","['mutable_default', 'naming_convention', 'unused_import', 'indentation']"
synthetic-django_PR_36,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 2 ; camelCase identifiers: urlPatterns ; mutable-default patterns: 0 ; non-4-space indentation lines: 3 ; docstring markers count: 2 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,['naming_convention'],"['indentation', 'unused_import', 'naming_convention', 'indentation', 'naming_convention', 'naming_convention', 'naming_convention']","['indentation', 'unused_import', 'indentation', 'naming_convention', 'naming_convention', 'unused_import', 'documentation_formatting']","['indentation', 'unused_import', 'indentation', 'naming_convention', 'naming_convention', 'naming_convention', 'indentation']","['indentation', 'unused_import', 'naming_convention', 'documentation_formatting']"
synthetic-django_PR_24,kannan-dedsec/synthetic-django,"repo family: django ; import statements count: 2 ; camelCase identifiers: byAuthor, withinDateRange ; mutable-default patterns: 6 ; non-4-space indentation lines: 0 ; docstring markers count: 24 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 32: Function 'byAuthor' uses mutable default for argument 'author_id'. | Line 42: Function 'withinDateRange' uses mutable default for argument 'start_date'.","['mutable_default', 'naming_convention']","['naming_convention', 'naming_convention', 'mutable_default', 'naming_convention', 'mutable_default', 'mutable_default', 'mutable_default']","['naming_convention', 'naming_convention', 'mutable_default', 'mutable_default', 'documentation_formatting', 'indentation']","['naming_convention', 'naming_convention', 'mutable_default', 'naming_convention', 'mutable_default', 'mutable_default', 'documentation_formatting']","['naming_convention', 'mutable_default', 'documentation_formatting', 'indentation']"
synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,repo family: fastapi ; import statements count: 7 ; camelCase identifiers: none ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 18 ; category hints: unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['unused_import', 'unused_import', 'unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'naming_convention']","['unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'indentation', 'naming_convention', 'naming_convention']","['unused_import', 'unused_import', 'unused_import', 'documentation_formatting', 'documentation_formatting', 'documentation_formatting', 'indentation']","['unused_import', 'documentation_formatting', 'naming_convention', 'indentation']"
synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,"repo family: fastapi ; import statements count: 3 ; camelCase identifiers: nameNotBlank, priceTwoDecimals ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['naming_convention'],"['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'naming_convention']","['naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'documentation_formatting', 'indentation', 'documentation_formatting']","['naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'unused_import', 'documentation_formatting']","['naming_convention', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,repo family: fastapi ; import statements count: 12 ; camelCase identifiers: tokenUrl ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style,['unused_import'],"['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'documentation_formatting', 'unused_import', 'unused_import']","['naming_convention', 'unused_import', 'naming_convention', 'documentation_formatting', 'unused_import', 'documentation_formatting', 'indentation']","['naming_convention', 'unused_import', 'naming_convention', 'naming_convention', 'documentation_formatting', 'unused_import', 'unused_import']","['naming_convention', 'unused_import', 'documentation_formatting', 'indentation']"
synthetic-django_PR_39,kannan-dedsec/synthetic-django,repo family: django ; import statements count: 11 ; camelCase identifiers: formValid ; mutable-default patterns: 0 ; non-4-space indentation lines: 25 ; docstring markers count: 14 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | documentation_formatting docstring summary style,"['documentation_formatting', 'indentation', 'naming_convention', 'unused_import']","['naming_convention', 'indentation', 'naming_convention', 'unused_import', 'indentation', 'naming_convention', 'naming_convention']","['indentation', 'naming_convention', 'naming_convention', 'unused_import', 'indentation', 'documentation_formatting', 'documentation_formatting']","['indentation', 'naming_convention', 'naming_convention', 'unused_import', 'indentation', 'naming_convention', 'indentation']","['indentation', 'naming_convention', 'unused_import', 'documentation_formatting']"
synthetic-django_PR_35,kannan-dedsec/synthetic-django,"repo family: django ; import statements count: 7 ; camelCase identifiers: assertContains, assertEqual, assertNotEqual, assertTrue, setUp ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 12 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style","['documentation_formatting', 'unused_import']","['unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'naming_convention', 'indentation', 'naming_convention']","['unused_import', 'naming_convention', 'naming_convention', 'indentation', 'unused_import', 'documentation_formatting', 'indentation']","['unused_import', 'naming_convention', 'naming_convention', 'naming_convention', 'indentation', 'unused_import', 'unused_import']","['unused_import', 'naming_convention', 'indentation', 'documentation_formatting']"
synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,"repo family: scikit-learn ; import statements count: 4 ; camelCase identifiers: bayesianOptimizationTuning, getDefaultParamGrids, gridSearchTuning, randomSearchTuning ; mutable-default patterns: 2 ; non-4-space indentation lines: 3 ; docstring markers count: 8 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | indentation 4-space tabs spaces | mutable_default B006 W0102 dangerous-default-value mutable argument default list dict set defaultdict none sentinel | documentation_formatting docstring summary style ; mutable-default evidence: Line 21: Function 'gridSearchTuning' uses mutable default for argument 'scoring'. | Line 50: Function 'randomSearchTuning' uses mutable default for argument 'scoring'.","['mutable_default', 'naming_convention']","['mutable_default', 'naming_convention', 'mutable_default', 'naming_convention', 'naming_convention', 'unused_import', 'naming_convention']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'unused_import', 'unused_import', 'indentation']","['mutable_default', 'mutable_default', 'naming_convention', 'naming_convention', 'naming_convention', 'unused_import', 'mutable_default']","['mutable_default', 'naming_convention', 'unused_import', 'indentation', 'documentation_formatting']"
synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,"repo family: pandas ; import statements count: 3 ; camelCase identifiers: createMultiIndex, crossSection, multiIndex ; mutable-default patterns: 0 ; non-4-space indentation lines: 0 ; docstring markers count: 10 ; category hints: naming_convention snake_case PascalCase | unused_import import cleanup dead import | documentation_formatting docstring summary style",['naming_convention'],"['documentation_formatting', 'indentation', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'naming_convention', 'indentation', 'indentation', 'documentation_formatting', 'naming_convention', 'unused_import']","['documentation_formatting', 'naming_convention', 'indentation', 'indentation', 'indentation', 'documentation_formatting', 'naming_convention']","['documentation_formatting', 'naming_convention', 'indentation', 'unused_import']"
