k,category,category_recall_contribution
1,documentation_formatting,0.0
1,indentation,0.2
1,mutable_default,0.0
1,naming_convention,0.5294117647058824
1,unused_import,0.23809523809523808
3,documentation_formatting,0.0
3,indentation,0.4
3,mutable_default,0.0
3,naming_convention,0.7647058823529411
3,unused_import,0.8095238095238095
5,documentation_formatting,0.2
5,indentation,1.0
5,mutable_default,0.0
5,naming_convention,0.8235294117647058
5,unused_import,0.9523809523809523
7,documentation_formatting,0.8
7,indentation,1.0
7,mutable_default,0.0
7,naming_convention,0.8235294117647058
7,unused_import,1.0
