k,id,repo,recall_at_k,precision_at_k,mrr_at_k,gt_category_count
1,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,1.0,1.0,1
1,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,1.0,0.5,2
1,synthetic-django_PR_25,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
1,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
1,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
1,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.25,1.0,0.25,4
1,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,0.5,1.0,0.5,2
1,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,0.5,1.0,0.5,2
1,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,1.0,1.0,1.0,1
1,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
1,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,1.0,1.0,1.0,1
1,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
1,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,1.0,1.0,1
1,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
1,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,1.0,0.5,2
1,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,1.0,1.0,1
1,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
1,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
3,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,1.0,1.0,1
3,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,1.0,0.5,2
3,synthetic-django_PR_25,kannan-dedsec/synthetic-django,1.0,0.3333333333333333,0.3333333333333333,1
3,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.3333333333333333,1.0,0.3333333333333333,3
3,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
3,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
3,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.5,1.0,0.375,4
3,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,0.5,1.0,0.5,2
3,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
3,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
3,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
3,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
3,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
3,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
3,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,0.5,1.0,0.5,2
3,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
3,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,1.0,0.3333333333333333,1.0,1
3,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
3,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
3,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,1.0,1.0,1.0,1
3,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.5,1.0,0.5,2
