k,category,gt_count,retrieved_count,tp,fp,recall,precision
1,naming_convention,17,18,13,5,0.7647058823529411,0.7222222222222222
1,unused_import,21,3,3,0,0.14285714285714285,1.0
1,indentation,5,7,4,3,0.8,0.5714285714285714
1,mutable_default,10,1,1,0,0.1,1.0
1,documentation_formatting,5,4,1,3,0.2,0.25
3,naming_convention,17,20,14,6,0.8235294117647058,0.7
3,unused_import,21,5,4,1,0.19047619047619047,0.8
3,indentation,5,7,4,3,0.8,0.5714285714285714
3,mutable_default,10,3,3,0,0.3,1.0
3,documentation_formatting,5,5,1,4,0.2,0.2
5,naming_convention,17,20,14,6,0.8235294117647058,0.7
5,unused_import,21,5,4,1,0.19047619047619047,0.8
5,indentation,5,8,4,4,0.8,0.5
5,mutable_default,10,5,5,0,0.5,1.0
5,documentation_formatting,5,7,1,6,0.2,0.14285714285714285
7,naming_convention,17,20,14,6,0.8235294117647058,0.7
7,unused_import,21,8,7,1,0.3333333333333333,0.875
7,indentation,5,9,4,5,0.8,0.4444444444444444
7,mutable_default,10,6,6,0,0.6,1.0
7,documentation_formatting,5,8,1,7,0.2,0.125
