k,id,repo,recall_at_k,precision_at_k,mrr_at_k,gt_category_count
1,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,1.0,1.0,1
1,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.0,0.0,0.0,2
1,synthetic-django_PR_25,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
1,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.5,1.0,0.5,2
1,synthetic-django_PR_36,kannan-dedsec/synthetic-django,0.0,0.0,0.0,1
1,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.25,1.0,0.25,4
1,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,0.5,1.0,0.5,2
1,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
1,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
1,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,0.5,1.0,0.5,2
1,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,0.0,0.0,0.0,1
1,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,2
1,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,1
1,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,2
1,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,1
1,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,3
1,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.3333333333333333,1.0,0.3333333333333333,3
1,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
1,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,1.0,0.5,2
1,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,1.0,1.0,1
1,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
1,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
1,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,2
3,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,0.3333333333333333,1.0,1
3,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,0.3333333333333333,0.16666666666666666,2
3,synthetic-django_PR_25,kannan-dedsec/synthetic-django,1.0,0.3333333333333333,0.3333333333333333,1
3,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
3,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.5,0.3333333333333333,0.5,2
3,synthetic-django_PR_36,kannan-dedsec/synthetic-django,1.0,0.3333333333333333,0.3333333333333333,1
3,synthetic-django_PR_39,kannan-dedsec/synthetic-django,0.5,1.0,0.3333333333333333,4
3,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,1.0,1.0,0.6666666666666666,2
3,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,1.0,0.3333333333333333,0.3333333333333333,1
3,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,1.0,1.0,1
3,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,0.0,0.0,0.0,1
3,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,0.6666666666666666,1.0,1
3,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,0.6666666666666666,1.0,1
3,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,0.3333333333333333,0.5,1
3,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,0.5,0.6666666666666666,0.5,2
3,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,1.0,1.0,0.611111111111111,3
3,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,0.0,0.0,0.0,1
3,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.6666666666666666,1.0,0.5,3
3,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,2
3,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,1
3,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,2
3,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,0.6666666666666666,0.3333333333333333,3
3,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,0.3333333333333333,0.3333333333333333,1
3,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.3333333333333333,0.3333333333333333,0.16666666666666666,3
3,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.3333333333333333,1.0,0.3333333333333333,3
3,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,1.0,0.3333333333333333,0.5,1
3,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.5,0.3333333333333333,0.25,2
3,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,0.6666666666666666,0.5,2
3,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,1.0,0.3333333333333333,0.5,1
3,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,0.6666666666666666,1.0,1
3,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.5,0.3333333333333333,0.25,2
3,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
3,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.5,0.3333333333333333,0.25,2
5,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,0.2,1.0,1
5,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,0.4,0.16666666666666666,2
5,synthetic-django_PR_25,kannan-dedsec/synthetic-django,1.0,0.2,0.3333333333333333,1
5,synthetic-django_PR_33,kannan-dedsec/synthetic-django,0.6666666666666666,0.4,0.4166666666666667,3
5,synthetic-django_PR_35,kannan-dedsec/synthetic-django,0.5,0.2,0.5,2
5,synthetic-django_PR_36,kannan-dedsec/synthetic-django,1.0,0.4,0.3333333333333333,1
5,synthetic-django_PR_39,kannan-dedsec/synthetic-django,1.0,1.0,0.4458333333333333,4
5,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,1.0,1.0,0.6666666666666666,2
5,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,1.0,0.2,0.3333333333333333,1
5,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,0.8,1.0,1
5,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,1.0,0.2,0.25,1
5,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,0.8,1.0,1
5,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,0.6,1.0,1
5,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,0.2,0.5,1
5,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,1.0,0.8,0.6,2
5,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,1.0,1.0,0.611111111111111,3
5,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,0.0,0.0,0.0,1
5,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.6666666666666666,0.8,0.5,3
5,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.5,0.2,0.1,2
5,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,1
5,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,2
5,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.3333333333333333,0.6,0.3333333333333333,3
5,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,0.2,0.3333333333333333,1
5,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.6666666666666666,0.4,0.2333333333333333,3
5,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.6666666666666666,0.8,0.39999999999999997,3
5,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,1.0,0.4,0.5,1
5,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.5,0.4,0.25,2
5,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,0.6,0.5,2
5,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,1.0,0.4,0.5,1
5,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,0.6,1.0,1
5,synthetic-sklearn_PR_35,kannan-dedsec/synthetic-sklearn,0.5,0.4,0.25,2
5,synthetic-sklearn_PR_37,kannan-dedsec/synthetic-sklearn,0.0,0.0,0.0,1
5,synthetic-sklearn_PR_38,kannan-dedsec/synthetic-sklearn,0.5,0.4,0.25,2
7,synthetic-django_PR_21,kannan-dedsec/synthetic-django,1.0,0.14285714285714285,1.0,1
7,synthetic-django_PR_24,kannan-dedsec/synthetic-django,0.5,0.42857142857142855,0.16666666666666666,2
7,synthetic-django_PR_25,kannan-dedsec/synthetic-django,1.0,0.2857142857142857,0.3333333333333333,1
7,synthetic-django_PR_33,kannan-dedsec/synthetic-django,1.0,0.42857142857142855,0.46428571428571425,3
7,synthetic-django_PR_35,kannan-dedsec/synthetic-django,1.0,0.2857142857142857,0.5833333333333334,2
7,synthetic-django_PR_36,kannan-dedsec/synthetic-django,1.0,0.42857142857142855,0.3333333333333333,1
7,synthetic-django_PR_39,kannan-dedsec/synthetic-django,1.0,1.0,0.4458333333333333,4
7,synthetic-fastapi_PR_22,kannan-dedsec/synthetic-fastapi,1.0,1.0,0.6666666666666666,2
7,synthetic-fastapi_PR_28,kannan-dedsec/synthetic-fastapi,1.0,0.14285714285714285,0.3333333333333333,1
7,synthetic-fastapi_PR_30,kannan-dedsec/synthetic-fastapi,1.0,0.7142857142857143,1.0,1
7,synthetic-fastapi_PR_31,kannan-dedsec/synthetic-fastapi,1.0,0.14285714285714285,0.25,1
7,synthetic-fastapi_PR_32,kannan-dedsec/synthetic-fastapi,1.0,0.8571428571428571,1.0,1
7,synthetic-fastapi_PR_34,kannan-dedsec/synthetic-fastapi,1.0,0.7142857142857143,1.0,1
7,synthetic-fastapi_PR_38,kannan-dedsec/synthetic-fastapi,1.0,0.2857142857142857,0.5,1
7,synthetic-flask_PR_26,kannan-dedsec/synthetic-flask,1.0,0.8571428571428571,0.6,2
7,synthetic-flask_PR_36,kannan-dedsec/synthetic-flask,1.0,0.8571428571428571,0.611111111111111,3
7,synthetic-flask_PR_37,kannan-dedsec/synthetic-flask,0.0,0.0,0.0,1
7,synthetic-flask_PR_40,kannan-dedsec/synthetic-flask,0.6666666666666666,0.7142857142857143,0.5,3
7,synthetic-pandas_PR_27,kannan-dedsec/synthetic-pandas,0.5,0.14285714285714285,0.1,2
7,synthetic-pandas_PR_32,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,1
7,synthetic-pandas_PR_34,kannan-dedsec/synthetic-pandas,0.0,0.0,0.0,2
7,synthetic-pandas_PR_36,kannan-dedsec/synthetic-pandas,0.6666666666666666,0.7142857142857143,0.38095238095238093,3
7,synthetic-pandas_PR_38,kannan-dedsec/synthetic-pandas,1.0,0.14285714285714285,0.3333333333333333,1
7,synthetic-pandas_PR_40,kannan-dedsec/synthetic-pandas,0.6666666666666666,0.42857142857142855,0.2333333333333333,3
7,synthetic-sklearn_PR_24,kannan-dedsec/synthetic-sklearn,0.6666666666666666,0.8571428571428571,0.39999999999999997,3
7,synthetic-sklearn_PR_25,kannan-dedsec/synthetic-sklearn,1.0,0.2857142857142857,0.5,1
7,synthetic-sklearn_PR_28,kannan-dedsec/synthetic-sklearn,0.5,0.2857142857142857,0.25,2
7,synthetic-sklearn_PR_30,kannan-dedsec/synthetic-sklearn,0.5,0.5714285714285714,0.5,2
7,synthetic-sklearn_PR_31,kannan-dedsec/synthetic-sklearn,1.0,0.2857142857142857,0.5,1
7,synthetic-sklearn_PR_32,kannan-dedsec/synthetic-sklearn,1.0,0.5714285714285714,1.0,1
