k,category,category_recall_contribution
1,documentation_formatting,0.2
1,indentation,0.8
1,mutable_default,0.1
1,naming_convention,0.7647058823529411
1,unused_import,0.14285714285714285
3,documentation_formatting,0.2
3,indentation,0.8
3,mutable_default,0.3
3,naming_convention,0.8235294117647058
3,unused_import,0.19047619047619047
5,documentation_formatting,0.2
5,indentation,0.8
5,mutable_default,0.5
5,naming_convention,0.8235294117647058
5,unused_import,0.19047619047619047
7,documentation_formatting,0.2
7,indentation,0.8
7,mutable_default,0.6
7,naming_convention,0.8235294117647058
7,unused_import,0.3333333333333333
